"ID","Name","Species","GeneID","Family","Evidence"
"T010824_2.00","TFAP2A","Homo_sapiens","ENSG00000137203","AP-2","D"
"T010820_2.00","TFAP2B","Homo_sapiens","ENSG00000008196","AP-2","D"
"T010822_2.00","TFAP2C","Homo_sapiens","ENSG00000087510","AP-2","D"
"T010823_2.00","TFAP2E","Homo_sapiens","ENSG00000116819","AP-2","D"
"T025994_2.00","ZBED1","Homo_sapiens","ENSG00000214717","BED ZF","D"
"T034316_2.00","ARNT2","Homo_sapiens","ENSG00000172379","bHLH","D"
"T034285_2.00","ARNTL","Homo_sapiens","ENSG00000133794","bHLH","D"
"T034291_2.00","ASCL1","Homo_sapiens","ENSG00000139352","bHLH","D"
"T034332_2.00","ASCL2","Homo_sapiens","ENSG00000183734","bHLH","D"
"T034315_2.00","ATOH1","Homo_sapiens","ENSG00000172238","bHLH","D"
"T034327_2.00","ATOH7","Homo_sapiens","ENSG00000179774","bHLH","D"
"T034328_2.00","BHLHA15","Homo_sapiens","ENSG00000180535","bHLH","D"
"T034329_2.00","BHLHE22","Homo_sapiens","ENSG00000180828","bHLH","D"
"T034280_2.00","BHLHE23","Homo_sapiens","ENSG00000125533","bHLH","D"
"T034286_2.00","BHLHE40","Homo_sapiens","ENSG00000134107","bHLH","D"
"T034275_2.00","BHLHE41","Homo_sapiens","ENSG00000123095","bHLH","D"
"T034288_2.00","CLOCK","Homo_sapiens","ENSG00000134852","bHLH","D"
"T034296_2.00","FERD3L","Homo_sapiens","ENSG00000146618","bHLH","D"
"T034331_2.00","FIGLA","Homo_sapiens","ENSG00000183733","bHLH","D"
"T034305_2.00","HAND2","Homo_sapiens","ENSG00000164107","bHLH","D"
"T034266_2.00","HES1","Homo_sapiens","ENSG00000114315","bHLH","D"
"T034248_2.00","HES2","Homo_sapiens","ENSG00000069812","bHLH","D"
"T034341_2.00","HES5","Homo_sapiens","ENSG00000197921","bHLH","D"
"T034295_2.00","HES6","Homo_sapiens","ENSG00000144485","bHLH","D"
"T034326_2.00","HES7","Homo_sapiens","ENSG00000179111","bHLH","D"
"T034307_2.00","HEY1","Homo_sapiens","ENSG00000164683","bHLH","D"
"T034289_2.00","HEY2","Homo_sapiens","ENSG00000135547","bHLH","D"
